game_title,author,number_of_ratings,wowie_rank,wowie_score,wowie_raw_score,fun_rank,fun_score,fun_raw_score,creativity_rank,creativity_score,creativity_raw_score,simplicity_rank,simplicity_score,simplicity_raw_score,sound_rank,sound_score,sound_raw_score,visuals_rank,visuals_score,visuals_raw_score,on_topic_rank,on_topic_score,on_topic_raw_score
Automation Invasion,tinico, 17,#282,3.235,3.235,#390,3.000,3.000,#473,3.059,3.059,#160,4.059,4.059,#186,3.353,3.353,#228,3.647,3.647,#279,3.529,3.529
The machine didn't learned,Struo, 26,#283,3.231,3.231,#390,3.000,3.000,#272,3.538,3.538,#300,3.769,3.769,#549,2.462,2.462,#554,2.731,2.731,#16,4.385,4.385
Lost Photon,TheoTheTorch, 13,#283,3.231,3.231,#512,2.692,2.692,#369,3.308,3.308,#215,3.923,3.923,#202,3.308,3.308,#213,3.692,3.692,#544,2.769,2.769
AbigAil,"MrCrazyFork, littoralie", 26,#283,3.231,3.231,#320,3.192,3.192,#383,3.269,3.269,#467,3.423,3.423,#253,3.192,3.192,#278,3.500,3.500,#273,3.538,3.538
Robot Panic,NicolAme, 11,#286,3.220,3.364,#95,3.743,3.909,#511,2.959,3.091,#44,4.352,4.545,#204,3.307,3.455,#226,3.656,3.818,#328,3.395,3.545
Knight and AI,JayTeaGibs_GameJams, 14,#287,3.214,3.214,#217,3.429,3.429,#351,3.357,3.357,#320,3.714,3.714,#185,3.357,3.357,#204,3.714,3.714,#81,4.071,4.071
In Gods Hand,Joshiii03, 14,#287,3.214,3.214,#371,3.071,3.071,#137,3.857,3.857,#464,3.429,3.429,#463,2.714,2.714,#441,3.000,3.000,#461,3.000,3.000
Carry a Robot,Wonderful_K-J, 19,#289,3.211,3.211,#263,3.316,3.316,#282,3.526,3.526,#261,3.842,3.842,#367,2.947,2.947,#320,3.368,3.368,#86,4.053,4.053
Bot Basket Brawl!,Lua on her computa, 24,#290,3.208,3.208,#325,3.167,3.167,#270,3.542,3.542,#365,3.625,3.625,#613,2.250,2.250,#363,3.250,3.250,#461,3.000,3.000
Escaping with A.I,WitekWitek, 29,#291,3.207,3.207,#142,3.621,3.621,#411,3.207,3.207,#84,4.207,4.207,#233,3.241,3.241,#467,2.931,2.931,#356,3.345,3.345
ZombieTime,il_Grigio, 29,#291,3.207,3.207,#357,3.103,3.103,#368,3.310,3.310,#556,3.172,3.172,#409,2.862,2.862,#428,3.069,3.069,#445,3.069,3.069
Under the sea,Imagineee, 39,#293,3.205,3.205,#311,3.205,3.205,#503,2.974,2.974,#114,4.128,4.128,#161,3.410,3.410,#220,3.667,3.667,#589,2.641,2.641
Start Up,Rai4u, 15,#294,3.200,3.200,#470,2.800,2.800,#159,3.800,3.800,#642,2.933,2.933,#189,3.333,3.333,#47,4.333,4.333,#21,4.333,4.333
After the last Second,Flyx, 35,#294,3.200,3.200,#444,2.857,2.857,#210,3.686,3.686,#237,3.886,3.886,#88,3.629,3.629,#46,4.343,4.343,#307,3.457,3.457
My AI Friend :),The Sneaky Turtel, 40,#294,3.200,3.200,#312,3.200,3.200,#429,3.175,3.175,#253,3.850,3.850,#366,2.950,2.950,#519,2.825,2.825,#198,3.750,3.750
Puzzled,Qonus, 15,#294,3.200,3.200,#98,3.733,3.733,#357,3.333,3.333,#242,3.867,3.867,#608,2.267,2.267,#358,3.267,3.267,#99,4.000,4.000
Doppel Defender,Felix Leong, 10,#298,3.195,3.500,#238,3.378,3.700,#225,3.651,4.000,#86,4.199,4.600,#480,2.647,2.900,#389,3.195,3.500,#169,3.834,4.200
"Love, flowers, Godot",aliendisco, 10,#298,3.195,3.500,#202,3.469,3.800,#190,3.743,4.100,#310,3.743,4.100,#452,2.739,3.000,#315,3.378,3.700,#97,4.017,4.400
Wall Breaker,Solanum Team, 42,#300,3.190,3.190,#325,3.167,3.167,#313,3.452,3.452,#97,4.167,4.167,#165,3.405,3.405,#163,3.857,3.857,#374,3.286,3.286
CollAIb,kenan238, 21,#300,3.190,3.190,#380,3.048,3.048,#341,3.381,3.381,#611,3.048,3.048,#394,2.905,2.905,#149,3.905,3.905,#99,4.000,4.000
Be the Enemy,Sushi_Senpai, 21,#300,3.190,3.190,#179,3.524,3.524,#17,4.333,4.333,#367,3.619,3.619,#189,3.333,3.333,#204,3.714,3.714,#422,3.143,3.143
Toilet Trouble,PlayGames_MakeGames, 16,#303,3.188,3.188,#283,3.250,3.250,#108,3.938,3.938,#413,3.500,3.500,#319,3.063,3.063,#256,3.563,3.563,#553,2.750,2.750
1 player 1 ai,Pybasti, 17,#304,3.176,3.176,#376,3.059,3.059,#458,3.118,3.118,#28,4.412,4.412,#426,2.824,2.824,#394,3.176,3.176,#236,3.647,3.647
Gate Guide,CreekWorks, 17,#304,3.176,3.176,#293,3.235,3.235,#608,2.647,2.647,#3,4.588,4.588,#129,3.529,3.529,#116,4.000,4.000,#503,2.882,2.882
Codemancer,SpixboxHQ, 17,#304,3.176,3.176,#419,2.941,2.941,#153,3.824,3.824,#615,3.000,3.000,#564,2.412,2.412,#579,2.647,2.647,#297,3.471,3.471
Beany_Astronaut,KardosKristof, 17,#304,3.176,3.176,#225,3.412,3.412,#280,3.529,3.529,#381,3.588,3.588,#129,3.529,3.529,#228,3.647,3.647,#490,2.941,2.941
Jeff the Robot,Hopeful Undertone, 17,#304,3.176,3.176,#349,3.118,3.118,#328,3.412,3.412,#432,3.471,3.471,#442,2.765,2.765,#374,3.235,3.235,#222,3.706,3.706
Crashy Road,LGK Productions, 12,#309,3.167,3.167,#221,3.417,3.417,#486,3.000,3.000,#413,3.500,3.500,#109,3.583,3.583,#301,3.417,3.417,#198,3.750,3.750
who's better: humans or robots,potipot, 8,#310,3.164,3.875,#374,3.062,3.750,#506,2.960,3.625,#523,3.266,4.000,#677,1.939,2.375,#432,3.062,3.750,#419,3.164,3.875
Cute Roboliks <3,Ninjago77, 50,#311,3.160,3.160,#382,3.040,3.040,#254,3.580,3.580,#119,4.120,4.120,#551,2.460,2.460,#419,3.080,3.080,#178,3.800,3.800
Cookie Creator,Redstoneworker, 19,#312,3.158,3.158,#334,3.158,3.158,#163,3.789,3.789,#768,2.421,2.421,#510,2.579,2.579,#285,3.474,3.474,#147,3.895,3.895
Popi & Gonzo,Matteo Mangioni, 51,#313,3.157,3.157,#323,3.176,3.176,#188,3.745,3.745,#318,3.725,3.725,#280,3.137,3.137,#464,2.941,2.941,#424,3.137,3.137
Slime Crusher,coolTag1971, 13,#314,3.154,3.154,#106,3.692,3.692,#63,4.077,4.077,#142,4.077,4.077,#674,2.000,2.000,#213,3.692,3.692,#642,2.462,2.462
You Donkey!,"plasol, CobraSenpai, TheHaist", 13,#314,3.154,3.154,#337,3.154,3.154,#143,3.846,3.846,#479,3.385,3.385,#312,3.077,3.077,#346,3.308,3.308,#331,3.385,3.385
Minor Adjustments,bugdriftrr, 13,#314,3.154,3.154,#294,3.231,3.231,#171,3.769,3.769,#504,3.308,3.308,#439,2.769,2.769,#402,3.154,3.154,#190,3.769,3.769
BaIance,abyssal, 13,#314,3.154,3.154,#106,3.692,3.692,#306,3.462,3.462,#142,4.077,4.077,#238,3.231,3.231,#289,3.462,3.462,#642,2.462,2.462
Farm with Code / JavaScript,Igor Konyakhin, 26,#314,3.154,3.154,#491,2.731,2.731,#78,4.000,4.000,#932,1.577,1.577,#794,1.577,1.577,#526,2.808,2.808,#391,3.231,3.231
A Gradual Conversion,dardasaba, 20,#319,3.150,3.150,#430,2.900,2.900,#180,3.750,3.750,#233,3.900,3.900,#329,3.000,3.000,#262,3.550,3.550,#351,3.350,3.350
Norbert: The Anti-Virus,Bucket, 27,#320,3.148,3.148,#370,3.074,3.074,#199,3.704,3.704,#566,3.148,3.148,#105,3.593,3.593,#112,4.037,4.037,#570,2.704,2.704
Vicky - A Chatbot Roguelike,rockwillck, 14,#321,3.143,3.143,#307,3.214,3.214,#112,3.929,3.929,#357,3.643,3.643,#380,2.929,2.929,#204,3.714,3.714,#422,3.143,3.143
The Ai's Trap,StellarNightmare, 14,#321,3.143,3.143,#582,2.500,2.500,#465,3.071,3.071,#539,3.214,3.214,#115,3.571,3.571,#116,4.000,4.000,#398,3.214,3.214
Double Savage,ReyGameDev, 35,#321,3.143,3.143,#409,2.971,2.971,#320,3.429,3.429,#464,3.429,3.429,#275,3.143,3.143,#384,3.200,3.200,#178,3.800,3.800
Gun&Guard,Foxomat, 21,#321,3.143,3.143,#217,3.429,3.429,#357,3.333,3.333,#228,3.905,3.905,#475,2.667,2.667,#373,3.238,3.238,#89,4.048,4.048
Traffio,mrLaruso, 28,#321,3.143,3.143,#244,3.357,3.357,#366,3.321,3.321,#235,3.893,3.893,#481,2.643,2.643,#176,3.821,3.821,#476,2.964,2.964
Reach It!,Abstract Kessoe, 21,#321,3.143,3.143,#179,3.524,3.524,#592,2.714,2.714,#72,4.238,4.238,#329,3.000,3.000,#352,3.286,3.286,#388,3.238,3.238
Detached,Gabbinetto, 15,#327,3.133,3.133,#203,3.467,3.467,#133,3.867,3.867,#409,3.533,3.533,#707,1.867,1.867,#305,3.400,3.400,#325,3.400,3.400
Dream-o-Bot,Martin Tale, 76,#328,3.132,3.132,#384,3.039,3.039,#389,3.263,3.263,#81,4.211,4.211,#303,3.092,3.092,#219,3.671,3.671,#365,3.316,3.316
Unfortunate pAIring,hammbalint, 32,#329,3.125,3.125,#360,3.094,3.094,#367,3.313,3.313,#60,4.281,4.281,#446,2.750,2.750,#486,2.875,2.875,#278,3.531,3.531
Fly Away,Notshade, 41,#330,3.122,3.122,#359,3.098,3.098,#304,3.463,3.463,#305,3.756,3.756,#315,3.073,3.073,#241,3.610,3.610,#461,3.000,3.000
Racoonity Service,MrPNGUIN, 25,#331,3.120,3.120,#363,3.080,3.080,#412,3.200,3.200,#373,3.600,3.600,#250,3.200,3.200,#218,3.680,3.680,#599,2.600,2.600
Captcha Capture,"Dkaloger, WayfarerGames, AlexAsay, nrizo, Kingdiablo, Toucan", 25,#331,3.120,3.120,#410,2.960,2.960,#116,3.920,3.920,#688,2.720,2.720,#309,3.080,3.080,#133,3.960,3.960,#283,3.520,3.520
Break it Down,Tiki720, 25,#331,3.120,3.120,#291,3.240,3.240,#130,3.880,3.880,#629,2.960,2.960,#272,3.160,3.160,#295,3.440,3.440,#295,3.480,3.480
"Get up, stupid robot!",Jellogramming, 17,#334,3.118,3.118,#174,3.529,3.529,#247,3.588,3.588,#175,4.000,4.000,#817,1.471,1.471,#436,3.059,3.059,#72,4.118,4.118
OVERDRIVE,crucial, 17,#334,3.118,3.118,#349,3.118,3.118,#247,3.588,3.588,#204,3.941,3.941,#186,3.353,3.353,#244,3.588,3.588,#236,3.647,3.647
Press Q to Quack,KwipXD, 52,#336,3.115,3.115,#387,3.019,3.019,#486,3.000,3.000,#286,3.788,3.788,#329,3.000,3.000,#406,3.135,3.135,#210,3.731,3.731
Uncollaborative AI,"Jonah, Cavecake", 28,#337,3.107,3.107,#487,2.750,2.750,#21,4.286,4.286,#775,2.393,2.393,#399,2.893,2.893,#425,3.071,3.071,#99,4.000,4.000
Guide in the Dark,Shawn and A.J., 19,#338,3.105,3.105,#354,3.105,3.105,#123,3.895,3.895,#389,3.579,3.579,#367,2.947,2.947,#553,2.737,2.737,#483,2.947,2.947
Wowiee the Game 2.0,Gamedev Demon, 40,#339,3.100,3.100,#505,2.700,2.700,#715,2.225,2.225,#553,3.175,3.175,#273,3.150,3.150,#805,1.700,1.700,#880,1.475,1.475
Captain SWARM,"RecursiveAnomaly, tpunisher33, magnuslegna, secrt101", 20,#339,3.100,3.100,#358,3.100,3.100,#314,3.450,3.450,#413,3.500,3.500,#208,3.300,3.300,#384,3.200,3.200,#269,3.550,3.550
Defective Robot,zhangtianhou, 30,#339,3.100,3.100,#241,3.367,3.367,#530,2.900,2.900,#97,4.167,4.167,#236,3.233,3.233,#441,3.000,3.000,#284,3.500,3.500
PlanetIndustries,ASecondGuy, 31,#342,3.097,3.097,#480,2.774,2.774,#146,3.839,3.839,#910,1.742,1.742,#299,3.097,3.097,#343,3.323,3.323,#405,3.194,3.194
Organically Stupid,Studio not-so studio, 31,#342,3.097,3.097,#298,3.226,3.226,#372,3.290,3.290,#355,3.645,3.645,#612,2.258,2.258,#238,3.613,3.613,#347,3.355,3.355
Blades And Zombies,InCarn8e, 33,#344,3.091,3.091,#279,3.273,3.273,#269,3.545,3.545,#226,3.909,3.909,#356,2.970,2.970,#106,4.061,4.061,#243,3.636,3.636
Drone Crates,PixelRunner, 23,#345,3.087,3.087,#439,2.870,2.870,#257,3.565,3.565,#554,3.174,3.174,#624,2.217,2.217,#416,3.087,3.087,#461,3.000,3.000
Unique Tastes,Tbage, 23,#345,3.087,3.087,#467,2.826,2.826,#152,3.826,3.826,#736,2.522,2.522,#437,2.783,2.783,#74,4.174,4.174,#353,3.348,3.348
Finsplim,breakableBird, 23,#345,3.087,3.087,#269,3.304,3.304,#203,3.696,3.696,#538,3.217,3.217,#364,2.957,2.957,#474,2.913,2.913,#353,3.348,3.348
Ordinate,HayJay, 36,#348,3.083,3.083,#379,3.056,3.056,#285,3.500,3.500,#17,4.472,4.472,#86,3.639,3.639,#160,3.861,3.861,#664,2.389,2.389
Battleship Bully,the_prancing_pony, 12,#348,3.083,3.083,#114,3.667,3.667,#250,3.583,3.583,#497,3.333,3.333,#329,3.000,3.000,#220,3.667,3.667,#440,3.083,3.083
Modern Translator,Finn1510, 9,#350,3.079,3.556,#541,2.598,3.000,#220,3.657,4.222,#580,3.079,3.556,#351,2.983,3.444,#420,3.079,3.556,#120,3.945,4.556
Super Heist,Ernesto Torres, 13,#351,3.077,3.077,#390,3.000,3.000,#573,2.769,2.769,#215,3.923,3.923,#383,2.923,2.923,#311,3.385,3.385,#517,2.846,2.846
Ain't Impossible,IdiotMakesGames, 13,#351,3.077,3.077,#265,3.308,3.308,#237,3.615,3.615,#35,4.385,4.385,#818,1.462,1.462,#213,3.692,3.692,#544,2.769,2.769
Last Thing Glitch Does:  #WowieJam4 version,mitchmyburgh, 13,#351,3.077,3.077,#390,3.000,3.000,#63,4.077,4.077,#175,4.000,4.000,#639,2.154,2.154,#267,3.538,3.538,#227,3.692,3.692
TOOBARI,Amitgep, 14,#354,3.071,3.071,#274,3.286,3.286,#448,3.143,3.143,#393,3.571,3.571,#215,3.286,3.286,#425,3.071,3.071,#183,3.786,3.786
Botanic Boogaloo,TheRidiculousR, 8,#355,3.062,3.750,#441,2.858,3.500,#345,3.368,4.125,#523,3.266,4.000,#269,3.164,3.875,#361,3.266,4.000,#419,3.164,3.875
GIR V2.0,"RadRize, StoneTapeStudios", 34,#356,3.059,3.059,#390,3.000,3.000,#388,3.265,3.265,#282,3.794,3.794,#305,3.088,3.088,#521,2.824,2.824,#162,3.853,3.853
Mansion of Sins and Virtues,LaTueur, 17,#356,3.059,3.059,#376,3.059,3.059,#55,4.118,4.118,#615,3.000,3.000,#259,3.176,3.176,#302,3.412,3.412,#431,3.118,3.118
Saaaaaaas,Bardia Crunch, 19,#358,3.053,3.053,#354,3.105,3.105,#325,3.421,3.421,#175,4.000,4.000,#831,1.421,1.421,#583,2.632,2.632,#147,3.895,3.895
Escape from the simulation,mesonepigreco, 21,#359,3.048,3.048,#196,3.476,3.476,#377,3.286,3.286,#247,3.857,3.857,#275,3.143,3.143,#438,3.048,3.048,#500,2.905,2.905
Tommy is Lost Again,Yeo Yeo, 11,#360,3.046,3.182,#302,3.220,3.364,#221,3.656,3.818,#612,3.046,3.182,#493,2.611,2.727,#381,3.220,3.364,#572,2.698,2.818
Gamer Hell,"Pospec, Jonulz", 11,#360,3.046,3.182,#437,2.872,3.000,#221,3.656,3.818,#427,3.482,3.636,#326,3.046,3.182,#381,3.220,3.364,#369,3.307,3.455
Wowie 4 - Hunt for the MacGuffin,Adroit Conceptions, 23,#362,3.043,3.043,#282,3.261,3.261,#370,3.304,3.304,#554,3.174,3.174,#391,2.913,2.913,#96,4.087,4.087,#598,2.609,2.609
Aice Cream,itsIsaac, 54,#363,3.037,3.037,#299,3.222,3.222,#552,2.852,2.852,#10,4.519,4.519,#199,3.315,3.315,#297,3.426,3.426,#526,2.833,2.833
Boing & Bop,PeapodGod, 31,#364,3.032,3.032,#167,3.548,3.548,#661,2.452,2.452,#2,4.613,4.613,#82,3.645,3.645,#54,4.290,4.290,#849,1.613,1.613
Robots VS Aliens,Neonloop Studios, 46,#365,3.022,3.022,#292,3.239,3.239,#312,3.457,3.457,#496,3.348,3.348,#600,2.304,2.304,#388,3.196,3.196,#329,3.391,3.391
Typewriter,ZElectricitE, 10,#366,3.012,3.300,#557,2.556,2.800,#374,3.286,3.600,#349,3.651,4.000,#31,3.925,4.300,#412,3.104,3.400,#372,3.286,3.600
"Collaborate, Human!",Local Minimum, 10,#366,3.012,3.300,#590,2.465,2.700,#262,3.560,3.900,#573,3.104,3.400,#883,1.187,1.300,#795,1.734,1.900,#131,3.925,4.300
Somewhere in 1942,MunchDuster123, 10,#366,3.012,3.300,#238,3.378,3.700,#225,3.651,4.000,#349,3.651,4.000,#452,2.739,3.000,#603,2.556,2.800,#204,3.743,4.100
Rob Malfunction,Cat Dev, 101,#369,3.010,3.010,#433,2.891,2.891,#275,3.535,3.535,#334,3.673,3.673,#228,3.257,3.257,#548,2.752,2.752,#277,3.535,3.535
Diamond knight,Artmag, 14,#370,3.000,3.000,#444,2.857,2.857,#285,3.500,3.500,#320,3.714,3.714,#380,2.929,2.929,#581,2.643,2.643,#541,2.786,2.786
The Companion's Journey,"ChronoAero, Fake-Aaron", 12,#370,3.000,3.000,#182,3.500,3.500,#215,3.667,3.667,#413,3.500,3.500,#306,3.083,3.083,#363,3.250,3.250,#135,3.917,3.917
Grid of Madness,JMC Games, 17,#370,3.000,3.000,#349,3.118,3.118,#280,3.529,3.529,#432,3.471,3.471,#442,2.765,2.765,#625,2.471,2.471,#348,3.353,3.353
V.I.C.I.,"Jaco van Hemert, SkyyStorm", 15,#370,3.000,3.000,#345,3.133,3.133,#159,3.800,3.800,#735,2.533,2.533,#99,3.600,3.600,#116,4.000,4.000,#157,3.867,3.867
"Leap The Gap, Duck!",SkyanSam, 13,#370,3.000,3.000,#294,3.231,3.231,#306,3.462,3.462,#35,4.385,4.385,#490,2.615,2.615,#569,2.692,2.692,#544,2.769,2.769
Trinket & Tail,Lost Crow Games, 24,#370,3.000,3.000,#457,2.833,2.833,#430,3.167,3.167,#283,3.792,3.792,#327,3.042,3.042,#40,4.375,4.375,#386,3.250,3.250
hAIst,OrsakasrO, 15,#370,3.000,3.000,#171,3.533,3.533,#276,3.533,3.533,#335,3.667,3.667,#378,2.933,2.933,#492,2.867,2.867,#662,2.400,2.400
Builders AI,GGGamesXDlol, 27,#370,3.000,3.000,#447,2.852,2.852,#504,2.963,2.963,#297,3.778,3.778,#382,2.926,2.926,#501,2.852,2.852,#254,3.593,3.593
Learning From You,GreedyTaiga, 14,#370,3.000,3.000,#501,2.714,2.714,#448,3.143,3.143,#289,3.786,3.786,#463,2.714,2.714,#532,2.786,2.786,#183,3.786,3.786
Treasure Inc.,N-Dev, 14,#370,3.000,3.000,#217,3.429,3.429,#406,3.214,3.214,#289,3.786,3.786,#412,2.857,2.857,#425,3.071,3.071,#129,3.929,3.929
BLOBOT,mrchip2k, 19,#370,3.000,3.000,#309,3.211,3.211,#389,3.263,3.263,#175,4.000,4.000,#2,4.526,4.526,#90,4.105,4.105,#775,1.947,1.947
Coloring with a kitchen robot,alexanbg, 18,#370,3.000,3.000,#418,2.944,2.944,#127,3.889,3.889,#666,2.833,2.833,#372,2.944,2.944,#397,3.167,3.167,#121,3.944,3.944
Ghost Protocol,pritom, 42,#370,3.000,3.000,#413,2.952,2.952,#357,3.333,3.333,#210,3.929,3.929,#165,3.405,3.405,#81,4.143,4.143,#534,2.810,2.810
Noobie Cemetery,Basyk Games, 12,#370,3.000,3.000,#457,2.833,2.833,#357,3.333,3.333,#135,4.083,4.083,#918,1.000,1.000,#363,3.250,3.250,#414,3.167,3.167
Little by Little,NinoSandlarz, 22,#370,3.000,3.000,#226,3.409,3.409,#486,3.000,3.000,#316,3.727,3.727,#183,3.364,3.364,#108,4.045,4.045,#845,1.636,1.636
Abominable Cacti,"Jiririn, OutcastT2, Pixelartchemist {Onion Licks}, Sierpinski Simon, Ra_Ivl", 14,#370,3.000,3.000,#425,2.929,2.929,#285,3.500,3.500,#247,3.857,3.857,#275,3.143,3.143,#204,3.714,3.714,#183,3.786,3.786
Artificial Evilness,Kae, 25,#370,3.000,3.000,#348,3.120,3.120,#130,3.880,3.880,#304,3.760,3.760,#430,2.800,2.800,#622,2.480,2.480,#267,3.560,3.560
A (ttack) I,MiceOrMouses, 9,#387,2.983,3.444,#693,2.117,2.444,#744,2.117,2.444,#445,3.464,4.000,#496,2.598,3.000,#636,2.406,2.778,#264,3.560,4.111
Dwarven Drummer,Isormour, 9,#387,2.983,3.444,#364,3.079,3.556,#103,3.945,4.556,#517,3.272,3.778,#400,2.887,3.333,#396,3.175,3.667,#574,2.694,3.111
DooHickey,Nomron, 9,#387,2.983,3.444,#364,3.079,3.556,#260,3.560,4.111,#855,2.021,2.333,#122,3.560,4.111,#420,3.079,3.556,#755,2.021,2.333
A EYE,Bisho, 28,#390,2.964,2.964,#339,3.143,3.143,#532,2.893,2.893,#175,4.000,4.000,#243,3.214,3.214,#441,3.000,3.000,#666,2.357,2.357
Aim Bot,benjaminkford, 8,#391,2.960,3.625,#441,2.858,3.500,#506,2.960,3.625,#435,3.470,4.250,#513,2.552,3.125,#633,2.449,3.000,#448,3.062,3.750
I lost my AI!,Dr_McFish, 8,#391,2.960,3.625,#281,3.266,4.000,#437,3.164,3.875,#435,3.470,4.250,#359,2.960,3.625,#432,3.062,3.750,#229,3.674,4.500
RED's 3D Adventure with you,2Dspessman, 8,#391,2.960,3.625,#330,3.164,3.875,#384,3.266,4.000,#489,3.368,4.125,#641,2.143,2.625,#817,1.633,2.000,#189,3.776,4.625
Stylobot,alexhlocke, 11,#394,2.959,3.091,#344,3.133,3.273,#332,3.395,3.545,#131,4.091,4.273,#44,3.830,4.000,#226,3.656,3.818,#505,2.872,3.000
Omega Squad,Spargit Studio, 11,#394,2.959,3.091,#381,3.046,3.182,#332,3.395,3.545,#767,2.437,2.545,#361,2.959,3.091,#407,3.133,3.273,#572,2.698,2.818
Lemon Ball!,Zesty The Lemon, 11,#394,2.959,3.091,#162,3.569,3.727,#402,3.220,3.364,#173,4.004,4.182,#858,1.306,1.364,#407,3.133,3.273,#134,3.917,4.091
Robo-E.R.T,Asteria's Light Games, 11,#394,2.959,3.091,#268,3.307,3.455,#332,3.395,3.545,#537,3.220,3.364,#858,1.306,1.364,#253,3.569,3.727,#205,3.743,3.909
Emancipator Go!,Mandinga, 22,#398,2.955,2.955,#132,3.636,3.636,#590,2.727,2.727,#413,3.500,3.500,#392,2.909,2.909,#134,3.955,3.955,#532,2.818,2.818
Chased by Zombies,IndieBen, 22,#398,2.955,2.955,#361,3.091,3.091,#478,3.045,3.045,#379,3.591,3.591,#552,2.455,2.455,#376,3.227,3.227,#343,3.364,3.364
mAId,proGrammerPro123, 22,#398,2.955,2.955,#565,2.545,2.545,#382,3.273,3.273,#547,3.182,3.182,#281,3.136,3.136,#108,4.045,4.045,#270,3.545,3.545
Space Scrapers Ltd,eternal15, 38,#401,2.947,2.947,#322,3.184,3.184,#464,3.079,3.079,#92,4.184,4.184,#112,3.579,3.579,#294,3.447,3.447,#663,2.395,2.395
Artificial Stupidity,NicolasDreams, 37,#402,2.946,2.946,#414,2.946,2.946,#319,3.432,3.432,#221,3.919,3.919,#617,2.243,2.243,#507,2.838,2.838,#211,3.730,3.730
code escape,Oeht00, 18,#403,2.944,2.944,#457,2.833,2.833,#285,3.500,3.500,#680,2.778,2.778,#660,2.056,2.056,#477,2.889,2.889,#249,3.611,3.611
Fish n' Chill,"Julink, Akalyon, Robin Gatelier", 18,#403,2.944,2.944,#535,2.611,2.611,#486,3.000,3.000,#23,4.444,4.444,#69,3.722,3.722,#75,4.167,4.167,#596,2.611,2.611
Bot Patrol,1AKron, 34,#405,2.941,2.941,#323,3.176,3.176,#247,3.588,3.588,#195,3.971,3.971,#622,2.235,2.235,#404,3.147,3.147,#284,3.500,3.500
Power Hungry,ladydaphne, 17,#405,2.941,2.941,#376,3.059,3.059,#486,3.000,3.000,#28,4.412,4.412,#402,2.882,2.882,#598,2.588,2.588,#348,3.353,3.353
Norman the police officer and his partner billy the robot,tremorlives, 17,#405,2.941,2.941,#481,2.765,2.765,#598,2.706,2.706,#471,3.412,3.412,#470,2.706,2.706,#329,3.353,3.353,#297,3.471,3.471
The Broken Machine,abbasazzam419, 31,#408,2.935,2.935,#423,2.935,2.935,#572,2.774,2.774,#154,4.065,4.065,#357,2.968,2.968,#276,3.516,3.516,#507,2.871,2.871
Desert  Golem,grizzygames, 15,#409,2.933,2.933,#536,2.600,2.600,#330,3.400,3.400,#8,4.533,4.533,#316,3.067,3.067,#105,4.067,4.067,#157,3.867,3.867
I'm in!,Fachchef, 15,#409,2.933,2.933,#390,3.000,3.000,#412,3.200,3.200,#242,3.867,3.867,#454,2.733,2.733,#613,2.533,2.533,#357,3.333,3.333
S.O.CHESS,Sam98js, 14,#411,2.929,2.929,#274,3.286,3.286,#406,3.214,3.214,#247,3.857,3.857,#882,1.214,1.214,#441,3.000,3.000,#563,2.714,2.714
Escort Mission,arrowmaster1252, 14,#411,2.929,2.929,#244,3.357,3.357,#486,3.000,3.000,#289,3.786,3.786,#412,2.857,2.857,#352,3.286,3.286,#218,3.714,3.714
Seemly Bytes,NoahPlay, 14,#411,2.929,2.929,#371,3.071,3.071,#320,3.429,3.429,#151,4.071,4.071,#625,2.214,2.214,#753,1.929,1.929,#316,3.429,3.429
The End of the World,bluegamemc, 41,#414,2.927,2.927,#316,3.195,3.195,#529,2.902,2.902,#232,3.902,3.902,#231,3.244,3.244,#476,2.902,2.902,#430,3.122,3.122
ARA,GAllium Creations (R.GOKUL ANAND), 54,#415,2.926,2.926,#499,2.722,2.722,#447,3.148,3.148,#70,4.241,4.241,#302,3.093,3.093,#370,3.241,3.241,#516,2.852,2.852
BabAI Sitter,"Bit Assembly, Sondy, Canvas", 13,#416,2.923,2.923,#294,3.231,3.231,#443,3.154,3.154,#533,3.231,3.231,#127,3.538,3.538,#192,3.769,3.769,#594,2.615,2.615
THE SIMPLE,kerhab, 13,#416,2.923,2.923,#449,2.846,2.846,#672,2.385,2.385,#142,4.077,4.077,#439,2.769,2.769,#502,2.846,2.846,#391,3.231,3.231
Vulcan,Llarence, 13,#416,2.923,2.923,#390,3.000,3.000,#306,3.462,3.462,#583,3.077,3.077,#490,2.615,2.615,#627,2.462,2.462,#273,3.538,3.538
Robot Issues,Jean-Marc Studio | JMS, 13,#416,2.923,2.923,#449,2.846,2.846,#272,3.538,3.538,#451,3.462,3.462,#238,3.231,3.231,#192,3.769,3.769,#132,3.923,3.923
Bros. Together!,"Real2Two, Brahvim", 10,#420,2.921,3.200,#317,3.195,3.500,#562,2.830,3.100,#124,4.108,4.500,#251,3.195,3.500,#677,2.282,2.500,#556,2.739,3.000
Tori,AveragePerson22, 10,#420,2.921,3.200,#428,2.921,3.200,#525,2.921,3.200,#483,3.378,3.700,#572,2.373,2.600,#286,3.469,3.800,#587,2.647,2.900
SCP-079,Killar.exe, 12,#422,2.917,2.917,#390,3.000,3.000,#327,3.417,3.417,#384,3.583,3.583,#306,3.083,3.083,#441,3.000,3.000,#135,3.917,3.917
The Bots of GrindQuest,drawsalotl, 12,#422,2.917,2.917,#582,2.500,2.500,#357,3.333,3.333,#769,2.417,2.417,#134,3.500,3.500,#116,4.000,4.000,#632,2.500,2.500
